PS2.HK54	163.5951	163.6951	163.7951	0.2000	69.0000	69.0000
PS2.QH3F	163.7951	164.9951	166.1951	2.4000	69.0000	69.0000
DRIFT_3	166.1951	166.2301	166.2651	0.0700	69.0000	69.0000
PS2.BPM54	166.2651	166.2951	166.3251	0.0600	69.0000	69.0000
DRIFT_12	166.3251	166.9101	167.4951	1.1700	69.0000	69.0000
MB	167.4951	169.3776	171.2601	3.7650	145.7000	110.9000
DRIFT_16	171.2601	171.6601	172.0601	0.8000	145.7000	110.9000
MB	172.0601	173.9427	175.8252	3.7650	145.7000	110.9000
DRIFT_6	175.8252	176.3752	176.9252	1.1000	58.0000	58.0000
PS2.VK24	176.9252	177.0252	177.1252	0.2000	58.0000	58.0000
PS2.QH2F	177.1252	177.6752	178.2252	1.1000	58.0000	58.0000
DRIFT_3	178.2252	178.2602	178.2952	0.0700	58.0000	58.0000
PS2.BPM24	178.2952	178.3252	178.3552	0.0600	58.0000	58.0000
DRIFT_12	178.3552	178.9402	179.5252	1.1700	58.0000	58.0000
MB	179.5252	181.4077	183.2902	3.7650	145.7000	110.9000
DRIFT_15	183.2902	183.6902	184.0902	0.8000	145.7000	110.9000
MB	184.0902	185.9727	187.8552	3.7650	145.7000	110.9000
DRIFT_6	187.8552	188.4052	188.9552	1.1000	58.0000	58.0000
PS2.HK3	188.9552	189.0552	189.1552	0.2000	58.0000	58.0000
PS2.QH1F	189.1552	189.7052	190.2552	1.1000	58.0000	58.0000
DRIFT_3	190.2552	190.2902	190.3252	0.0700	58.0000	58.0000
PS2.BPM3	190.3252	190.3552	190.3852	0.0600	58.0000	58.0000
DRIFT_12	190.3852	190.9702	191.5552	1.1700	58.0000	58.0000
MB	191.5552	193.4377	195.3202	3.7650	145.7000	110.9000
DRIFT_15	195.3202	195.7202	196.1202	0.8000	145.7000	110.9000
MB	196.1202	198.0027	199.8852	3.7650	145.7000	110.9000
DRIFT_6	199.8852	200.4352	200.9852	1.1000	58.0000	58.0000
PS2.VK25	200.9852	201.0852	201.1852	0.2000	58.0000	58.0000
PS2.QH2F	201.1852	201.7352	202.2852	1.1000	58.0000	58.0000
DRIFT_3	202.2852	202.3202	202.3552	0.0700	58.0000	58.0000
PS2.BPM25	202.3552	202.3852	202.4152	0.0600	58.0000	58.0000
DRIFT_12	202.4152	203.0002	203.5852	1.1700	58.0000	58.0000
MB	203.5852	205.4677	207.3502	3.7650	145.7000	110.9000
DRIFT_15	207.3502	207.7502	208.1502	0.8000	145.7000	110.9000
MB	208.1502	210.0327	211.9152	3.7650	145.7000	110.9000
DRIFT_6	211.9152	212.4652	213.0152	1.1000	69.0000	69.0000
PS2.HK55	213.0152	213.1152	213.2152	0.2000	69.0000	69.0000
PS2.QH3F	213.2152	214.4152	215.6152	2.4000	69.0000	69.0000
DRIFT_3	215.6152	215.6502	215.6852	0.0700	69.0000	69.0000
PS2.BPM55	215.6852	215.7152	215.7452	0.0600	69.0000	69.0000
DRIFT_3	215.7452	215.7802	215.8152	0.0700	69.0000	69.0000
SX1	215.8152	215.9652	216.1152	0.3000	69.0000	69.0000
DRIFT_7	216.1152	216.4152	216.7152	0.6000	69.0000	69.0000
PS2.VK85	216.7152	216.8152	216.9152	0.2000	50.0000	50.0000
PS2.QH4F	216.9152	217.6152	218.3152	1.4000	50.0000	50.0000
DRIFT_3	218.3152	218.3502	218.3852	0.0700	50.0000	50.0000
PS2.BPM85	218.3852	218.4152	218.4452	0.0600	50.0000	50.0000
DRIFT_3	218.4452	218.4802	218.5152	0.0700	50.0000	50.0000
SY2	218.5152	218.6652	218.8152	0.3000	50.0000	50.0000
DRIFT_9	218.8152	219.2152	219.6152	0.8000	50.0000	50.0000
MB	219.6152	221.4977	223.3802	3.7650	145.7000	110.9000
DRIFT_9	223.3802	223.7802	224.1802	0.8000	50.0000	50.0000
SY2	224.1802	224.3302	224.4802	0.3000	50.0000	50.0000
PS2.VK86	224.4802	224.5802	224.6802	0.2000	50.0000	50.0000
PS2.QH4F	224.6802	225.3802	226.0802	1.4000	50.0000	50.0000
DRIFT_3	226.0802	226.1152	226.1502	0.0700	50.0000	50.0000
PS2.BPM86	226.1502	226.1802	226.2102	0.0600	50.0000	50.0000
DRIFT_10	226.2102	226.5452	226.8802	0.6700	69.0000	69.0000
SX1	226.8802	227.0302	227.1802	0.3000	69.0000	69.0000
PS2.HK56	227.1802	227.2802	227.3802	0.2000	69.0000	69.0000
PS2.QH3F	227.3802	228.5802	229.7802	2.4000	69.0000	69.0000
DRIFT_3	229.7802	229.8152	229.8502	0.0700	69.0000	69.0000
PS2.BPM56	229.8502	229.8802	229.9102	0.0600	69.0000	69.0000
DRIFT_12	229.9102	230.4952	231.0802	1.1700	69.0000	69.0000
MB	231.0802	232.9627	234.8452	3.7650	145.7000	110.9000
DRIFT_16	234.8452	235.2452	235.6452	0.8000	145.7000	110.9000
MB	235.6452	237.5277	239.4102	3.7650	145.7000	110.9000
DRIFT_6	239.4102	239.9602	240.5102	1.1000	58.0000	58.0000
PS2.VK26	240.5102	240.6102	240.7102	0.2000	58.0000	58.0000
PS2.QH2F	240.7102	241.2602	241.8102	1.1000	58.0000	58.0000
DRIFT_3	241.8102	241.8452	241.8802	0.0700	58.0000	58.0000
PS2.BPM26	241.8802	241.9102	241.9402	0.0600	58.0000	58.0000
DRIFT_12	241.9402	242.5252	243.1102	1.1700	58.0000	58.0000
MB	243.1102	244.9927	246.8752	3.7650	145.7000	110.9000
DRIFT_15	246.8752	247.2752	247.6752	0.8000	145.7000	110.9000
MB	247.6752	249.5577	251.4402	3.7650	145.7000	110.9000
DRIFT_6	251.4402	251.9902	252.5402	1.1000	58.0000	58.0000
PS2.HK4	252.5402	252.6402	252.7402	0.2000	58.0000	58.0000
PS2.QH1F	252.7402	253.2902	253.8402	1.1000	58.0000	58.0000
DRIFT_3	253.8402	253.8752	253.9102	0.0700	58.0000	58.0000
PS2.BPM4	253.9102	253.9402	253.9702	0.0600	58.0000	58.0000
DRIFT_12	253.9702	254.5552	255.1402	1.1700	58.0000	58.0000
MB	255.1402	257.0227	258.9052	3.7650	145.7000	110.9000
DRIFT_15	258.9052	259.3052	259.7052	0.8000	145.7000	110.9000
MB	259.7052	261.5877	263.4702	3.7650	145.7000	110.9000
DRIFT_6	263.4702	264.0202	264.5702	1.1000	58.0000	58.0000
PS2.VK27	264.5702	264.6702	264.7702	0.2000	58.0000	58.0000
PS2.QH2F	264.7702	265.3202	265.8702	1.1000	58.0000	58.0000
DRIFT_3	265.8702	265.9052	265.9402	0.0700	58.0000	58.0000
PS2.BPM27	265.9402	265.9702	266.0002	0.0600	58.0000	58.0000
DRIFT_12	266.0002	266.5852	267.1702	1.1700	58.0000	58.0000
MB	267.1702	269.0527	270.9352	3.7650	145.7000	110.9000
DRIFT_15	270.9352	271.3352	271.7352	0.8000	145.7000	110.9000
MB	271.7352	273.6177	275.5002	3.7650	145.7000	110.9000
DRIFT_6	275.5002	276.0502	276.6002	1.1000	69.0000	69.0000
PS2.HK57	276.6002	276.7002	276.8002	0.2000	69.0000	69.0000
PS2.QH3F	276.8002	278.0002	279.2002	2.4000	69.0000	69.0000
DRIFT_3	279.2002	279.2352	279.2702	0.0700	69.0000	69.0000
PS2.BPM57	279.2702	279.3002	279.3302	0.0600	69.0000	69.0000
DRIFT_3	279.3302	279.3652	279.4002	0.0700	69.0000	69.0000
SX1	279.4002	279.5502	279.7002	0.3000	69.0000	69.0000
DRIFT_7	279.7002	280.0002	280.3002	0.6000	69.0000	69.0000
